year,station_id,longitude,latitude,city_id,city_name_chn,city_name_eng
1994,S000181,112.3237,38.9106,,,
1994,S000182,112.6919,38.7092,,,
1994,S000183,112.566,37.8121,14.0,太原市,Taiyuan
1994,S000184,112.7655,38.2872,22.0,忻州市,Xinzhou
1994,S000185,112.5656,37.7986,14.0,太原市,Taiyuan
1994,S000186,112.7891,37.6493,20.0,晋中市,Jinzhong
1994,S000187,112.7769,37.636,20.0,晋中市,Jinzhong
1994,S000188,112.7799,37.5591,20.0,晋中市,Jinzhong
1994,S000189,113.2101,39.9781,15.0,大同市,Datong
1994,S000190,113.2806,40.0669,15.0,大同市,Datong
1994,S000191,113.0813,25.753,182.0,郴州市,Chenzhou
1994,S000192,113.3058,25.9257,,,
1994,S000193,104.1498,30.5761,222.0,成都市,Chengdu
1994,S000194,104.9716,29.4985,230.0,内江市,Neijiang
1994,S000195,104.9724,29.4849,230.0,内江市,Neijiang
1994,S000196,106.3614,29.3225,,,
1994,S000197,106.3667,29.3226,,,
1994,S000198,106.4187,29.3425,,,
1994,S000199,106.4238,29.3472,,,
1994,S000200,106.5286,29.4961,,,
1994,S000201,123.4348,41.7378,34.0,沈阳市,Shenyang
1994,S000202,123.4608,41.7765,34.0,沈阳市,Shenyang
1994,S000203,104.096,35.9295,,,
1994,S000204,107.1326,34.2979,252.0,宝鸡市,Baoji
1994,S000205,107.1382,34.2981,252.0,宝鸡市,Baoji
1994,S000206,108.7713,34.2978,253.0,咸阳市,Xianyang
1994,S000207,108.7713,34.2932,253.0,咸阳市,Xianyang
1994,S000208,109.2645,34.3514,,,
1994,S000209,110.1686,34.4529,,,
1994,S000210,112.6099,34.6609,146.0,洛阳市,Luoyang
1994,S000211,112.627,34.6651,146.0,洛阳市,Luoyang
1994,S000212,113.6338,34.7303,144.0,郑州市,Zhengzhou
1994,S000213,113.7265,34.6598,144.0,郑州市,Zhengzhou
1994,S000214,115.6857,34.3641,157.0,商丘市,Shangqiu
1994,S000215,115.6969,34.3636,157.0,商丘市,Shangqiu
1994,S000216,115.8179,34.3263,,,
1994,S000217,115.8239,34.3305,,,
1994,S000218,117.1043,34.2458,69.0,徐州市,Xuzhou
1994,S000219,117.2756,34.2132,69.0,徐州市,Xuzhou
1994,S000220,119.4525,34.6386,,,
1994,S000221,115.8202,34.2809,,,
1994,S000222,116.4864,34.1799,,,
1994,S000223,117.5704,38.995,,,
1994,S000224,117.7222,38.959,,,
1994,S000225,123.1625,41.243,43.0,辽阳市,Liaoyang
1994,S000226,123.4209,41.5973,,,
1994,S000227,109.2701,34.3514,,,
1994,S000228,110.163,34.4574,,,
1994,S000229,116.1989,39.9002,1.0,北京市,Beijing
1994,S000230,116.4492,39.8566,1.0,北京市,Beijing
1994,S000231,115.4591,40.2814,,,
