year,station_id,longitude,latitude,city_id,city_name_chn,city_name_eng,province_code,province_name,prov_assign_method,nearest_city,distance_to_city_km
1994,S000049,126.9651,44.3961,,,,JILIN,吉林省,assigned_by_nearest_city,SHUIQULIU,12.187353505168936
1994,S000050,127.4026,43.8794,,,,JIANGXI,江西省,assigned_by_nearest_city,SHUITIAN,25.586403384431442
1994,S000051,126.7185,45.724,55.0,哈尔滨市,Harbin,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,XIANGFANG,3.0952019099347625
1994,S000052,127.265,44.6559,,,,YUNNAN,云南省,assigned_by_nearest_city,JINMA,11.51680505492441
1994,S000053,127.3896,43.8532,,,,JIANGXI,江西省,assigned_by_nearest_city,SHUITIAN,28.638846143090316
1994,S000054,129.3973,42.8636,,,,JILIN,吉林省,assigned_by_nearest_city,YANJI,10.654350687210345
1994,S000055,119.0832,42.2695,28.0,赤峰市,Chifeng,GUANGDONG,广东省,assigned_by_nearest_city,CHIXI,10.422109053862389
1994,S000056,119.6493,41.3604,,,,LIAONING,辽宁省,assigned_by_nearest_city,ZHONGSANJIA,15.108506645430394
1994,S000057,124.3761,43.1561,50.0,四平市,Siping,HUNAN,湖南省,assigned_by_nearest_city,SHANMEN,10.183161478463347
1994,S000058,125.7018,42.57,,,,JILIN,吉林省,assigned_by_nearest_city,SHUGUANG,10.842699872233837
1994,S000059,112.7632,38.3867,22.0,忻州市,Xinzhou,SHANXI,山西省,assigned_by_nearest_city,XINFU,2.4575625747156384
1994,S000060,113.125,38.5459,,,,JIANGSU,江苏省,assigned_by_nearest_city,DONGSHE,20.349069561733987
1994,S000061,117.2298,32.419,,,,ANHUI,安徽省,assigned_by_nearest_city,CHANGFENG,8.784746477765236
1994,S000062,118.2763,31.3603,92.0,芜湖市,Wuhu,ANHUI,安徽省,assigned_by_nearest_city,SHUANGHE,10.102567744287049
1994,S000063,122.901,45.5838,54.0,白城市,Baicheng,JILIN,吉林省,assigned_by_nearest_city,BAICHENG,5.734797261214115
1994,S000064,124.2595,45.482,,,,JILIN,吉林省,assigned_by_nearest_city,BALANG,16.16279467660168
1994,S000065,124.2586,45.4774,,,,JILIN,吉林省,assigned_by_nearest_city,BALANG,15.807321277868759
1994,S000066,125.3569,43.9028,48.0,长春市,Changchun,JILIN,吉林省,assigned_by_nearest_city,JILIN,2.581037392507326
1994,S000067,130.2826,45.2862,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,LINKOU,2.9500143110116723
1994,S000068,130.8482,45.3298,57.0,鸡西市,Jixi,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,JIXI,10.228974078166408
1994,S000069,121.2657,38.8264,,,,SHAANXI,陕西省,assigned_by_nearest_city,LONGTOU,5.561250833521885
1994,S000070,121.7824,39.0998,,,,LIAONING,辽宁省,assigned_by_nearest_city,DAHEIGANGZI,0.919113580672557
