year,station_id,station_name,province,degree_centrality,betweenness_centrality,closeness_centrality
1933,ST0019,北京市,北京市,0.0379746835443038,0.0759493670886076,0.0005337817071598172
1933,ST0020,吉林市,吉林省,0.012658227848101266,0.0,0.0005429085118845564
1933,ST0021,四平市,吉林省,0.05063291139240506,0.11165206101914962,0.0006642205939040445
1933,ST0022,白城市,吉林省,0.0379746835443038,0.0379746835443038,0.0006047357176094604
1933,ST0023,白山市,吉林省,0.02531645569620253,0.0,0.0003971401646914414
1933,ST0024,辽源市,吉林省,0.05063291139240506,0.11684518013631938,0.0006902284928590847
1933,ST0025,通化市,吉林省,0.012658227848101266,0.0,0.0006859857636621282
1933,ST0026,长春市,吉林省,0.0379746835443038,0.056150600454397924,0.000590758573703261
1933,ST0045,天津市,天津市,0.05063291139240506,0.08049334631613113,0.0005724220729202946
1933,ST0055,宿州市,安徽省,0.02531645569620253,0.04543979227523531,8.180121283051058e-05
1933,ST0062,蚌埠市,安徽省,0.02531645569620253,0.046413502109704644,8.246575056714711e-05
1933,ST0068,临沂市,山东省,0.012658227848101266,0.0,0.0004384561083512735
1933,ST0070,德州市,山东省,0.02531645569620253,0.007465108730931516,4.9296843686394555e-05
1933,ST0072,枣庄市,山东省,0.012658227848101266,0.0,0.0004384561083512735
1933,ST0073,泰安市,山东省,0.0379746835443038,0.038623823433950016,5.405243349554681e-05
1933,ST0074,济南市,山东省,0.0379746835443038,0.014281077572216812,5.01822123973117e-05
1933,ST0075,济宁市,山东省,0.02531645569620253,0.041544952937358,5.531943148784979e-05
1933,ST0076,淄博市,山东省,0.05063291139240506,0.033106134371957155,5.0879432844418116e-05
1933,ST0078,潍坊市,山东省,0.012658227848101266,0.0,5.0675528103886866e-05
1933,ST0081,莱芜市,山东省,0.02531645569620253,0.035053554040895815,5.356746352292416e-05
1933,ST0083,青岛市,山东省,0.012658227848101266,0.0,4.952813811929761e-05
1933,ST0086,大同市,山西省,0.02531645569620253,0.035053554040895815,0.00043287989719076824
1933,ST0098,广州市,广东省,0.012658227848101266,0.0,4.296021669133299e-05
1933,ST0106,深圳市,广东省,0.012658227848101266,0.0,4.296021669133299e-05
1933,ST0113,韶关市,广东省,0.012658227848101266,0.0,0.0004721457608392863
1933,ST0130,南京市,江苏省,0.02531645569620253,0.04673807205452775,8.263815065115635e-05
1933,ST0134,徐州市,江苏省,0.02531645569620253,0.043816942551119765,8.121455761808667e-05
1933,ST0144,九江市,江西省,0.012658227848101266,0.0,5.807289630555054e-05
1933,ST0145,南昌市,江西省,0.05063291139240506,0.0379746835443038,7.479661106839783e-05
1933,ST0148,抚州市,江西省,0.012658227848101266,0.0,7.429125590486346e-05
1933,ST0149,新余市,江西省,0.02531645569620253,0.02044790652385589,7.365468603465058e-05
1933,ST0151,萍乡市,江西省,0.0379746835443038,0.014605647517039922,7.170236152549274e-05
1933,ST0153,鹰潭市,江西省,0.02531645569620253,0.038623823433950016,7.570955706659915e-05
1933,ST0154,保定市,河北省,0.012658227848101266,0.0,0.0004979360273398765
1933,ST0155,唐山市,河北省,0.02531645569620253,0.08763388510223953,0.0005779450558236789
1933,ST0156,廊坊市,河北省,0.0379746835443038,0.012333657903278157,0.0005293752077823794
1933,ST0157,张家口市,河北省,0.02531645569620253,0.04543979227523531,0.0005315622810450929
1933,ST0159,沧州市,河北省,0.012658227848101266,0.0,4.7794602377651364e-05
1933,ST0161,秦皇岛市,河北省,0.0379746835443038,0.09412528399870172,0.0005819982188329068
1933,ST0173,新乡市,河南省,0.012658227848101266,0.0,0.00017043527464792333
1933,ST0177,焦作市,河南省,0.012658227848101266,0.0,0.00017043527464792333
1933,ST0185,宁波市,浙江省,0.012658227848101266,0.0,7.760701245431272e-05
1933,ST0186,杭州市,浙江省,0.02531645569620253,0.04543979227523531,8.139875059051014e-05
1933,ST0189,绍兴市,浙江省,0.0379746835443038,0.046413502109704644,8.10570504724902e-05
1933,ST0203,鄂州市,湖北省,0.012658227848101266,0.0,0.0004270657168725123
1933,ST0206,黄石市,湖北省,0.012658227848101266,0.0,0.0004270657168725123
1933,ST0212,株洲市,湖南省,0.012658227848101266,0.0,7.112992910465147e-05
1933,ST0216,衡阳市,湖南省,0.012658227848101266,0.0,4.063326744141101e-05
1933,ST0218,郴州市,湖南省,0.012658227848101266,0.0,0.0004721457608392863
1933,ST0243,丹东市,辽宁省,0.012658227848101266,0.0,0.0006154678755227269
1933,ST0244,大连市,辽宁省,0.012658227848101266,0.0,0.0005296559853382866
1933,ST0245,抚顺市,辽宁省,0.02531645569620253,0.1142486205777345,0.0007306515261451328
1933,ST0247,本溪市,辽宁省,0.02531645569620253,0.012333657903278157,0.000687088378836518
1933,ST0248,沈阳市,辽宁省,0.0759493670886076,0.15481986368062317,0.0007356482214362088
1933,ST0249,盘锦市,辽宁省,0.0379746835443038,0.11781888997078871,0.000708934216451273
1933,ST0250,营口市,辽宁省,0.0379746835443038,0.024342745861733205,0.0005726890532034983
1933,ST0251,葫芦岛市,辽宁省,0.02531645569620253,0.09996754300551769,0.0006503867410799181
1933,ST0252,辽阳市,辽宁省,0.02531645569620253,0.035053554040895815,0.0006414467245937902
1933,ST0253,铁岭市,辽宁省,0.02531645569620253,0.0,0.0006533091560552322
1933,ST0254,锦州市,辽宁省,0.02531645569620253,0.10516066212268743,0.0006906935129592994
1933,ST0255,阜新市,辽宁省,0.0379746835443038,0.0,0.000662822054712287
1933,ST0256,鞍山市,辽宁省,0.012658227848101266,0.0,0.0005526918575306177
1933,ST0269,七台河市,黑龙江省,0.012658227848101266,0.0,0.00024525686920953937
1933,ST0270,伊春市,黑龙江省,0.02531645569620253,0.0,0.0004213440472878663
1933,ST0271,佳木斯市,黑龙江省,0.012658227848101266,0.0,7.061851651399884e-06
1933,ST0273,哈尔滨市,黑龙江省,0.05063291139240506,0.048036351833820184,0.0004999401353735335
1933,ST0274,大庆市,黑龙江省,0.0379746835443038,0.038299253489126904,0.0004924166125812361
1933,ST0275,牡丹江市,黑龙江省,0.0379746835443038,0.03570269393054203,0.000405684561971923
1933,ST0276,鸡西市,黑龙江省,0.02531645569620253,0.012333657903278157,0.00039741543991017673
1933,ST0277,鹤岗市,黑龙江省,0.012658227848101266,0.0,7.061851651399884e-06
1933,ST0279,齐齐哈尔市,黑龙江省,0.05063291139240506,0.024342745861733205,0.0004885843471876131
1934,ST0001,上海市,上海市,0.02531645569620253,0.046413502109704644,8.235093410793234e-05
1934,ST0005,思茅市,云南省,0.012658227848101266,0.0,1.3933030471049985e-05
1934,ST0006,昆明市,云南省,0.012658227848101266,0.0,7.000409436446913e-06
1934,ST0009,玉溪市,云南省,0.02531645569620253,0.0003245699448231094,1.397814956627025e-05
1934,ST0010,乌兰察布市,内蒙古自治区,0.02531645569620253,0.024018175916910092,0.00021249607699550167
1934,ST0012,包头市,内蒙古自治区,0.02531645569620253,0.012333657903278157,0.00018961939505264378
1934,ST0013,呼伦贝尔市,内蒙古自治区,0.012658227848101266,0.0,0.00045511968169462087
1934,ST0017,通辽市,内蒙古自治区,0.0379746835443038,0.04576436222005842,0.0006256902441175944
1934,ST0018,鄂尔多斯市,内蒙古自治区,0.012658227848101266,0.0,0.00018735666706852071
1934,ST0019,北京市,北京市,0.0379746835443038,0.0759493670886076,0.0005479325011714443
1934,ST0020,吉林市,吉林省,0.0379746835443038,0.03894839337877312,0.000567491990303879
1934,ST0021,四平市,吉林省,0.05063291139240506,0.1142486205777345,0.0006862752733051796
1934,ST0022,白城市,吉林省,0.0379746835443038,0.036676403765011356,0.0006216513692474258
1934,ST0023,白山市,吉林省,0.02531645569620253,0.0,0.00046813496403033764
1934,ST0024,辽源市,吉林省,0.05063291139240506,0.11684518013631938,0.0007140751134344233
1934,ST0025,通化市,吉林省,0.012658227848101266,0.0,0.0007095351210788331
1934,ST0026,长春市,吉林省,0.0379746835443038,0.05744888023369036,0.0006081407520299727
1934,ST0045,天津市,天津市,0.05063291139240506,0.08049334631613113,0.0005887270589205782
1934,ST0055,宿州市,安徽省,0.02531645569620253,0.04543979227523531,8.180121283051058e-05
1934,ST0062,蚌埠市,安徽省,0.02531645569620253,0.046413502109704644,8.246575056714711e-05
1934,ST0068,临沂市,山东省,0.012658227848101266,0.0,0.0004384561083512735
1934,ST0070,德州市,山东省,0.02531645569620253,0.007465108730931516,4.9296843686394555e-05
1934,ST0072,枣庄市,山东省,0.012658227848101266,0.0,0.0004384561083512735
1934,ST0073,泰安市,山东省,0.0379746835443038,0.038623823433950016,5.405243349554681e-05
1934,ST0074,济南市,山东省,0.0379746835443038,0.014281077572216812,5.01822123973117e-05
1934,ST0075,济宁市,山东省,0.02531645569620253,0.041544952937358,5.531943148784979e-05
1934,ST0076,淄博市,山东省,0.05063291139240506,0.033106134371957155,5.0879432844418116e-05
1934,ST0078,潍坊市,山东省,0.012658227848101266,0.0,5.0675528103886866e-05
1934,ST0081,莱芜市,山东省,0.02531645569620253,0.035053554040895815,5.356746352292416e-05
1934,ST0083,青岛市,山东省,0.012658227848101266,0.0,4.952813811929761e-05
1934,ST0086,大同市,山西省,0.02531645569620253,0.035053554040895815,0.0004421400321724459
1934,ST0098,广州市,广东省,0.012658227848101266,0.0,4.296021669133299e-05
1934,ST0106,深圳市,广东省,0.012658227848101266,0.0,4.296021669133299e-05
1934,ST0113,韶关市,广东省,0.012658227848101266,0.0,0.0004721457608392863
1934,ST0130,南京市,江苏省,0.02531645569620253,0.04673807205452775,8.263815065115635e-05
1934,ST0134,徐州市,江苏省,0.02531645569620253,0.043816942551119765,8.121455761808667e-05
1934,ST0144,九江市,江西省,0.012658227848101266,0.0,5.807289630555054e-05
1934,ST0145,南昌市,江西省,0.05063291139240506,0.0379746835443038,7.479661106839783e-05
1934,ST0148,抚州市,江西省,0.012658227848101266,0.0,7.429125590486346e-05
